,date,code,open,high,low,close,preclose,volume,amount,pctChg
139,2016-07-28,sh.000300,3204.4650,3235.7810,3195.2700,3221.1360,3218.2430,11277996400,137295892753.0000,0.089900
140,2016-07-29,sh.000300,3217.1920,3225.4180,3198.6840,3203.9300,3221.1360,8804483700,103787029748.0000,-0.534200
141,2016-08-01,sh.000300,3196.4250,3199.9750,3156.7490,3176.8090,3203.9300,8700349700,98818634361.0000,-0.846500
142,2016-08-02,sh.000300,3173.7580,3189.0530,3165.5420,3189.0530,3176.8090,6216763900,70640763842.0000,0.385400
143,2016-08-03,sh.000300,3179.6840,3197.1570,3173.5360,3193.5070,3189.0520,7286410200,79754323301.0000,0.139700
144,2016-08-04,sh.000300,3190.5460,3201.5540,3170.4190,3201.2890,3193.5070,7350437300,86919591121.0000,0.243700
145,2016-08-05,sh.000300,3201.3540,3224.8730,3192.8610,3205.1100,3201.2880,7719636600,94429542391.0000,0.119400
146,2016-08-08,sh.000300,3199.5720,3234.4790,3187.2520,3234.1830,3205.1100,8667605100,102638114597.0000,0.907100
147,2016-08-09,sh.000300,3232.6030,3257.3330,3229.1740,3256.9810,3234.1830,9106525900,105924052436.0000,0.704900
148,2016-08-10,sh.000300,3255.1820,3261.8610,3242.7510,3243.3410,3256.9810,9043037200,106157448028.0000,-0.418800
149,2016-08-11,sh.000300,3239.5580,3274.0260,3232.6130,3233.3600,3243.3400,10104121300,116996159046.0000,-0.307700
150,2016-08-12,sh.000300,3231.8060,3294.2340,3231.1370,3294.2340,3233.3600,11625404400,129354686387.0000,1.882600
151,2016-08-15,sh.000300,3303.4690,3417.9150,3302.3780,3393.4240,3294.2330,22054342100,258897463910.0000,3.011000
152,2016-08-16,sh.000300,3403.3840,3418.6880,3372.0210,3378.2450,3393.4230,19638974000,226785231085.0000,-0.447300
153,2016-08-17,sh.000300,3377.7710,3394.3890,3356.9240,3373.0480,3378.2450,13884768800,167917530856.0000,-0.153900
154,2016-08-18,sh.000300,3369.9470,3394.7910,3349.6880,3364.4850,3373.0470,14238016900,172256533000.0000,-0.253800
155,2016-08-19,sh.000300,3358.5550,3374.0450,3341.1920,3365.0200,3364.4850,11996150800,135382706293.0000,0.015900
156,2016-08-22,sh.000300,3364.6810,3372.8330,3335.4690,3336.7950,3365.0190,10795100800,128201783812.0000,-0.838800
157,2016-08-23,sh.000300,3332.6210,3359.6480,3324.9600,3341.8300,3336.7940,9292451600,108503692377.0000,0.150900
158,2016-08-24,sh.000300,3341.9300,3348.1290,3323.7250,3329.8630,3341.8290,8119142900,94012832200.0000,-0.358100
159,2016-08-25,sh.000300,3314.0850,3315.0810,3279.8060,3308.9720,3329.8630,10058915300,112578140010.0000,-0.627400
160,2016-08-26,sh.000300,3312.4990,3328.9450,3301.7360,3307.0900,3308.9720,8153069100,93213205560.0000,-0.056900
161,2016-08-29,sh.000300,3306.5750,3315.0790,3297.0700,3307.7810,3307.0900,7703633300,88011642022.0000,0.020900
162,2016-08-30,sh.000300,3310.3190,3325.1220,3304.5970,3311.9870,3307.7810,7572598700,89513016667.0000,0.127200
163,2016-08-31,sh.000300,3310.5650,3333.9730,3304.6550,3327.7940,3311.9870,7957080500,99215044445.0000,0.477200
164,2016-09-01,sh.000300,3326.7390,3329.3450,3301.2130,3301.5770,3327.7930,8494721900,100911462823.0000,-0.787800
165,2016-09-02,sh.000300,3298.7220,3320.4250,3295.7550,3314.1140,3301.5760,8279180300,99396378584.0000,0.379800
166,2016-09-05,sh.000300,3321.0050,3338.4200,3314.6290,3319.6800,3314.1140,7829247700,87531089645.0000,0.167900
167,2016-09-06,sh.000300,3322.0180,3347.9510,3300.1260,3342.6260,3319.6800,9828399800,118366533426.0000,0.691200
168,2016-09-07,sh.000300,3344.0660,3357.3570,3337.7510,3340.8170,3342.6250,10294010600,115119908617.0000,-0.054100
169,2016-09-08,sh.000300,3338.0080,3343.3950,3328.2260,3339.5640,3340.8170,7191615800,83742346850.0000,-0.037500
170,2016-09-09,sh.000300,3339.3730,3344.9510,3318.0440,3318.0440,3339.5640,8265703600,95471188732.0000,-0.644400
171,2016-09-12,sh.000300,3271.8700,3276.7160,3234.5730,3262.6040,3318.0440,12291768200,134456630927.0000,-1.670900
172,2016-09-13,sh.000300,3265.3370,3269.2220,3246.3860,3260.3330,3262.6040,6718028800,76862644231.0000,-0.069600
173,2016-09-14,sh.000300,3245.7370,3254.9950,3231.3350,3238.7300,3260.3330,7043269700,79780746436.0000,-0.662600
174,2016-09-19,sh.000300,3242.7430,3264.8990,3242.7430,3263.1240,3238.7300,5883108200,67678031642.0000,0.753200
175,2016-09-20,sh.000300,3264.6650,3265.0350,3252.3880,3257.4030,3263.1240,5278420600,61626150818.0000,-0.175300
176,2016-09-21,sh.000300,3257.7100,3270.9020,3254.3210,3266.6360,3257.4030,5914297900,68957744044.0000,0.283400
177,2016-09-22,sh.000300,3281.4720,3303.1990,3277.9790,3291.1210,3266.6360,7575354200,89991761655.0000,0.749600
178,2016-09-23,sh.000300,3292.2790,3293.9160,3275.0250,3275.6670,3291.1210,5799398600,68046257250.0000,-0.469600
179,2016-09-26,sh.000300,3267.6900,3267.6900,3220.2840,3220.2840,3275.6660,7045218600,78700835132.0000,-1.690700
180,2016-09-27,sh.000300,3214.8700,3240.7760,3214.4410,3240.7550,3220.2830,5846055000,66651130361.0000,0.635700
181,2016-09-28,sh.000300,3243.6470,3243.6470,3227.9960,3230.8900,3240.7540,4472749800,51996404752.0000,-0.304400
182,2016-09-29,sh.000300,3234.8570,3257.7670,3234.8030,3244.3870,3230.8900,5545255600,62220302312.0000,0.417800
183,2016-09-30,sh.000300,3240.1770,3260.9400,3239.0360,3253.2850,3244.3870,4497802200,52655734553.0000,0.274200
184,2016-10-10,sh.000300,3265.3650,3294.6410,3258.9580,3293.8690,3253.2840,8051926000,89607989896.0000,1.247500
185,2016-10-11,sh.000300,3296.8670,3308.0040,3292.8770,3306.5570,3293.8690,8771316300,88213421183.0000,0.385200
186,2016-10-12,sh.000300,3299.1390,3302.5610,3289.7530,3300.0100,3306.5570,6866978100,72386912616.0000,-0.198000
187,2016-10-13,sh.000300,3299.1560,3307.4090,3292.3970,3302.6460,3300.0090,8122419800,79923748596.0000,0.079900
188,2016-10-14,sh.000300,3298.7340,3306.6860,3285.7290,3305.8480,3302.6450,8231627100,81485597806.0000,0.097000
189,2016-10-17,sh.000300,3305.9630,3309.0100,3271.5410,3277.8790,3305.8480,8611350900,88199418936.0000,-0.846100
190,2016-10-18,sh.000300,3272.6810,3321.3330,3272.6810,3321.3330,3277.8780,10286071400,104625044142.0000,1.325700
